month,ticker,month_end_price,prev_month_price,monthly_return
2002-02-01 00:00:00+07,AAPL,0.326554,0.371908,-0.12194951439603342762
2002-03-01 00:00:00+07,AAPL,0.356289,0.326554,0.09105691554842384414
2002-04-01 00:00:00+07,AAPL,0.365088,0.356289,0.02469624377962833542
2002-05-01 00:00:00+07,AAPL,0.350593,0.365088,-0.03970275659567008502
2002-06-01 00:00:00+07,AAPL,0.266578,0.350593,-0.23963684386168577239
2002-07-01 00:00:00+07,AAPL,0.229585,0.266578,-0.13876989098875376063
2002-08-01 00:00:00+07,AAPL,0.222121,0.229585,-0.03251083476707973082
2002-09-01 00:00:00+07,AAPL,0.218181,0.222121,-0.01773807969530120970
2002-10-01 00:00:00+07,AAPL,0.24192,0.218181,0.10880415801559255847
2002-11-01 00:00:00+07,AAPL,0.23324,0.24192,-0.03587962962962962963
2002-12-01 00:00:00+07,AAPL,0.215794,0.23324,-0.07479849082490138913
2003-01-01 00:00:00+07,AAPL,0.216091,0.215794,0.00137631259441875122
2003-02-01 00:00:00+07,AAPL,0.225689,0.216091,0.04441647268974644941
2003-03-01 00:00:00+07,AAPL,0.212711,0.225689,-0.05750391024817337132
2003-04-01 00:00:00+07,AAPL,0.213923,0.212711,0.00569787176027567921
2003-05-01 00:00:00+07,AAPL,0.269989,0.213923,0.26208495580185393810
2003-06-01 00:00:00+07,AAPL,0.286761,0.269989,0.06212104937608569238
2003-07-01 00:00:00+07,AAPL,0.317232,0.286761,0.10625921934991159886
2003-08-01 00:00:00+07,AAPL,0.340123,0.317232,0.07215854642659000353
2003-09-01 00:00:00+07,AAPL,0.311793,0.340123,-0.08329339680056920585
2003-10-01 00:00:00+07,AAPL,0.344589,0.311793,0.10518517093071364655
2003-11-01 00:00:00+07,AAPL,0.31477,0.344589,-0.08653497354819799819
2003-12-01 00:00:00+07,AAPL,0.321657,0.31477,0.02187946754773326556
2004-01-01 00:00:00+07,AAPL,0.339524,0.321657,0.05554674700068706728
2004-02-01 00:00:00+07,AAPL,0.359856,0.339524,0.05988383737232124975
2004-03-01 00:00:00+07,AAPL,0.406903,0.359856,0.13073840647370059135
2004-04-01 00:00:00+07,AAPL,0.387913,0.406903,-0.04666959938855206278
2004-05-01 00:00:00+07,AAPL,0.422169,0.387913,0.08830846091778311116
2004-06-01 00:00:00+07,AAPL,0.489607,0.422169,0.15974171481089326786
2004-07-01 00:00:00+07,AAPL,0.486631,0.489607,-0.00607834446811422222
2004-08-01 00:00:00+07,AAPL,0.519063,0.486631,0.06664598021909824898
2004-09-01 00:00:00+07,AAPL,0.583219,0.519063,0.12359964012075605466
2004-10-01 00:00:00+07,AAPL,0.7884,0.583219,0.35180781147390602844
2004-11-01 00:00:00+07,AAPL,1.00886,0.7884,0.27962962962962962963
2004-12-01 00:00:00+07,AAPL,0.969045,1.00886,-0.03946533711317724957
2005-01-01 00:00:00+07,AAPL,1.15711,0.969045,0.19407251469230015118
